Pos,Rider,Bike,Nation
1,Marc MARQUEZ,Honda,SPA
2,Andrea DOVIZIOSO,Ducati,ITA
3,Maverick VINALES,Yamaha,SPA
4,Dani PEDROSA,Honda,SPA
5,Valentino ROSSI,Yamaha,ITA
6,Johann ZARCO,Yamaha,FRA
7,Jorge LORENZO,Ducati,SPA
8,Danilo PETRUCCI,Ducati,ITA
9,Cal CRUTCHLOW,Honda,GBR
10,Jonas FOLGER,Yamaha,GER
11,Alvaro BAUTISTA,Ducati,SPA
12,Jack MILLER,Honda,AUS
13,Scott REDDING,Ducati,GBR
14,Aleix ESPARGARO,Aprilia,SPA
15,Loris BAZ,Ducati,FRA
16,Andrea IANNONE,Suzuki,ITA
17,Pol ESPARGARO,KTM,SPA
18,Karel ABRAHAM,Ducati,CZE
19,Tito RABAT,Honda,SPA
20,Alex RINS,Suzuki,SPA
21,Hector BARBERA,Ducati,SPA
22,Michele PIRRO,Ducati,ITA
23,Bradley SMITH,KTM,GBR
24,Mika KALLIO,KTM,FIN
25,Sam LOWES,Aprilia,GBR
26,Sylvain GUINTOLI,Suzuki,FRA
27,Takuya TSUDA,Suzuki,JPN