scena,postac,opis
16,jack,'Jack pociesza kolegę na grupie wsparcia, gdy wkracza Marla'
16,marla,'Jack pociesza kolegę na grupie wsparcia, gdy wkracza Marla'
26,marla,'Marla pojawia się na krótko we śnie Jacka'
28,jack,'Konfrontacja Jacka i Marli - <br>ujawniają powody przychodzenia na grupę wsparcia'
28,marla,'Konfrontacja Jacka i Marli - <br>ujawniają sobie powody przychodzenia na grupę wsparcia'
28,other,'Konfrontacja Jacka i Marli - <br>ujawniają sobie powody przychodzenia na grupę wsparcia'
29,jack,'Jack i Marla kontynuują rozmowę nt. podziału grup wsparcia między siebie'
29,marla,'Jack i Marla kontynuują rozmowę nt. podziału grup wsparcia między siebie'
30,jack,'Jack i Marla kończą rozmowę i mają się rozejść,<br> lecz Jack prosi Marlę o telefon. Nie podaje swojego imienia.'
30,marla,'Jack i Marla kończą rozmowę i mają się rozejść,<br> lecz Jack prosi Marlę o telefon. Nie podaje swojego imienia.'
69,jack,'Marla dzwoni stęskniona po długim okresie ciszy <br>i mówi Jackowi, że chce się zabić. Jack wychodzi,<br>nie odwiesza telefonu. Tyler przysłuchuje się rozmowie.'
69,marla,'Marla dzwoni stęskniona po długim okresie ciszy <br>i mówi Jackowi, że chce się zabić.Jack wychodzi,<br>nie odwiesza telefonu. Tyler przysłuchuje się rozmowie.'
74,jack,'Marla wchodzi do domu Jacka i pyta, jak mógł się nie odezwać po wspólnej nocy. <br>Jack nie wie o co chodzi. Tyler przygląda się i mówi Jackowi, że spędził noc z Marlą.'
74,marla,'Marla wchodzi do domu Jacka i pyta, jak mógł się nie odezwać po wspólnej nocy. <br>Jack nie wie o co chodzi. Tyler przygląda się i mówi Jackowi, że spędził noc z Marlą.'
74,tyler,'Marla wchodzi do domu Jacka i pyta, jak mógł się nie odezwać po wspólnej nocy. <br>Jack nie wie o co chodzi. Tyler przygląda się i mówi Jackowi, że spędził noc z Marlą.'
77,marla,'Tyler przychodzi do Marli, nie odzywa się. Ta uwodzi go, lecz przyjazd policji wypłasza ich.'
78,marla,'Marla ucieka przed policją'
78,other,'Marla ucieka przed policją'
79,marla,'Tyler i Marla uciekają do mieszkania Jacka i Tylera. Marla prosi, by został i nie pozwolił jej zasnąć - bo leki ją zabiją.'
81,marla,'Tyler i Marla w pokoju Tylera po wspólnej nocy'
91,jack,'Jack rozmawia z detektywem, Tyler się wtrąca. <br>Gdy przychodzi Marla, Tyler idzie do siebie. Jack spławia Marlę.'
91,marla,'Jack rozmawia z detektywem, Tyler się wtrąca. <br>Gdy przychodzi Marla, Tyler idzie do siebie. Jack spławia Marlę.'
91,other,'Jack rozmawia z detektywem, Tyler się wtrąca. <br>Gdy przychodzi Marla, Tyler idzie do siebie. Jack spławia Marlę.'
91,tyler,'Jack rozmawia z detektywem, Tyler się wtrąca. <br>Gdy przychodzi Marla, Tyler idzie do siebie. Jack spławia Marlę.'
94,jack,'Jack wylatuje z pracy. Marla dzwoni, wpraszając się'
94,marla,'Jack wylatuje z pracy. Marla dzwoni, wpraszając się'
94,other,'Jack wylatuje z pracy. Marla dzwoni, wpraszając się'
95,jack,'Marla stara się uwieść Jacka, ale nic nie wychodzi'
95,marla,'Marla stara się uwieść Jacka, ale nic nie wychodzi'
96,jack,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
96,marla,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
96,other,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
121,jack,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
121,marla,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
121,tyler,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
133,jack,'Marla spotyka Jacka. Ten, w ferworze, odgania ją, mówiąc, że Tyler odszedł'
133,marla,'Marla spotyka Jacka. Ten, w ferworze, odgania ją, mówiąc, że Tyler odszedł'
148,jack,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
148,marla,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
148,tyler,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
160,jack,'Jack stara się zapobiec aktowi terroryzmu. Spotyka Marlę, ta nie chce z nim mówić'
160,marla,'Jack stara się zapobiec atakowi na Marlę. Spotyka Marlę, ta nie chce z nim mówić'
160,other,'Jack stara się zapobiec atakowi na Marlę. Spotyka Marlę, ta nie chce z nim mówić'
161,jack,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
161,marla,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
161,other,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
166,jack,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
166,marla,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
166,tyler,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
173,jack,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
173,marla,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
173,tyler,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
